CommonName;Latitude;Longitude;Wine;Vintage;Origin;TastingNotes;Alcohol;RS;pH;TA;VA;TSO2;FSO2;MainVariety;WineType;WineStyle;WineBody;WineTaste;Wooded
KWV Wines;-33,76215363;18,96186638;KWV Contemporary Collection Chenin Blanc Chardonnay 2011;2011;Western Cape;This medium bodied, well balanced wine is persistently fruity. An abundance of tropical fruit flavours linger on the palate, complemented by vanilla, minerality and lime notes. The wine is soft and generous with a fresh, lingering finish.;12.8;5.16;3.39;5.96;;;;Chenin Blanc;White;;Medium;Fruity;
KWV Wines;-33,76215363;18,96186638;KWV Contemporary Collection Chenin Blanc Muscat d'Alexandrie 2011;2011;Western Cape;This semi-sweet wine has distinctive tropical fruit, floral and muscat aromas, complemented by apple, litchi and grapefruit flavours on the palate. The wine is refreshing, well balanced with a lingering, fruity aftertaste.;12.52;16.06;3.46;6.06;;;;Chenin Blanc;White;Semi Sweet;;;
KWV Wines;-33,76215363;18,96186638;KWV Contemporary Collection Cabernet Sauvignon Merlot 2011;2011;Western Cape;An elegant red wine that delivers black cherry, blackberry and plum flavours. The wine is soft, smooth and vibrant with a fruity palate complemented by hints of spice.;13.49;9.76;3.46;5.86;;;;Cabernet Sauvignon;Red;;Soft;;
Sauvignon.com;0;0;Sauvignon.com Sauvignon Blanc 2011;2011;Western Cape;This vibrant classically styled Sauvignon Blanc presents a brilliant lemon-lime colour. The nose is complex with an array of tropical fruit, ripe figs and gooseberries. These crisp flavours repeat in the mouth along with a mineral character followed by a ;13.48;2.16;3.38;6.70;;;;Sauvignon Blanc;White;;;Fruity;
Sadie Family Wines;0;0;Sadie Family Columella 2013 (On Allocation);2011;;<div>For the first time ever, we experienced that malolactic fermentation came to completion prior to alcoholic fermentation which brought about a completely new level of complexity as well as the eventual aromatic and taste characteristics.</div><div><br;14.05;1.9;3.44;6.0;;72;;Shiraz;Red;Dry;;;
Thokozani Wines;0;0;Thokozani RosÃ© 2011;2011;Wellington; Strawberry and raspberries on the nose with sweet fruit on the palate, medium body, residual sweetness is balanced by a lingering acidity.<br />;13.5;14.0;3.27;6.15;;;;Shiraz;Rose;Sweet;Medium;Fruity;
Nederburg Wines;-33,72084427;19,00285912;Nederburg Winemasters Reserve Cabernet Sauvignon 2013;2013;Western Cape;Colour: Ruby red.<br />Bouquet: Aromas of blackcurrants and cherries with violets and nuances of vanilla oak spice in the background.<br />Palate: A rich and full-bodied wine with ripe fruit, cherry and delicate oak spice flavours, firm tannins and a ling;14.6;4.46;3.74;5.22;;;;Cabernet Sauvignon;Red;Dry;Full;;
KWV Cafe Culture;0;0;KWV CafÃ© Culture 2011;2011;Western Cape;A distinctive mocha, dark chocolate and toffee flavors complemented by berry aromas makes this wine truly unique. The wine is medium bodied, soft and easy to drink with an abundance of juicy fruit. This is a new an innovative way of drinking Pinotage. Tan;14.5;3.16;3.47;5.95;;;;Pinotage;Red;Dry;;;
Wolvendrift Private Cellar;-33,90976715;20,01465797;Wolvendrift Red Muscadel 2012;2012;Breede River;"This full bodied rich, yet smooth dessert wine brings you the natural sweet nose of raisins and honey.  The flavours linger on the palate and leaves a deliciously silky aftertaste.&nbsp;";17.0;225.6;3.8;4.8;;;;Muscat de Frontignan;Red;Sweet;;;
Groupe LFE South Africa;0;0;Centennial Reserve Sauvignon Blanc - Fairtrade 2011;2011;Western Cape;Made from 100% Sauvignon Blanc grapes, selected in the Stellenbosch region from 3 different  Sauvignon Blanc blocks, overlooking the sea (False Bay). <br /><br />The nose, as well as the palate, is outspokenly driven by tropical fruit flavours, with a das;13.0;2.2;3.26;6.8;;;;Sauvignon Blanc;White;;;;
Groupe LFE South Africa;0;0;Klein Kasteelberg PB Chardonnay 2011;2011;Swartland;Hints of pleasant citrus, peach and banana flavours on the nose. A full, creamy, well-rounded, and fruity mouth feel. Very well balanced. ;14.5;1.7;3.47;6.0;;;;Chardonnay;White;;;;
Bellevue Estate;-33,87985611;18,76378632;Morkel Sauvignon Blanc 2011;2011;Bottelary, Stellenbosch;<ul><li>Pale straw colour with a green tinge. </li><li>At the same time tropical and green/mineral </li><li>With figs, granadilla and green pepper on the nose and palate. </li><li>A mineral mouthfeel of chalk and flint, retains the  tight and racy finish.;13.8;1.5;3.13;8.5;;139;45;Sauvignon Blanc;White;Off Dry;Light;Fruity;
De Meye Wines;-33,81954575;18,82813263;De Meye Chardonnay Unwooded 2011;2011;Stellenbosch;Aroma: Tantalising aromas of green apple, minerals and subtle hints of rose petals characterise this wine.  <br>Palate: Mouth filling mid-palate with a long clean finish. Minerals and citrus showing prominently.;12.5;1.9;;5.4;;;;Chardonnay;White;;;;
De Meye Wines;-33,81954575;18,82813263;De Meye Shiraz RosÃ© 2011;2011;Stellenbosch;Aroma: Tantalising aromas of candy-floss and ripe summer berries characterise this easy-going wine.<br>Palate: Watermelon and strawberry carry through to the palate.  Crisp, with a subtle dry finish.;13.5;3.0;;5.2;;;;Shiraz;Rose;;;;
The Land of Hope;0;0;Land of Hope Reserve Chenin Blanc 2011;2011;Helderberg - Stellenbosch;This wine shows both the exuberance of the variety in its floral notes and its nobility in a compelling mineral acidity, naturally bestowed by its site. Balanced and poised, it provides just enough richness to please the palate and just the right amount o;13.0;3.0;3.69;5.4;;;;Chenin Blanc;White;Dry;;;
Bayede!;0;0;BAYEDE! Queen Thomo Sauvignon Blanc 2011;2011;Various;Rich tropical tones, laced with grapefruit and crisp green pepper liveliness.<br />;12.05;2.1;3.52;6.0;;;;Sauvignon Blanc;White;Dry;Full;;
DGB;0;0;Cape Mountain Chenin Blanc 2011;2011;Western Cape;Pale straw with youthful green hues. Generous exotic tropical fruit aromas with subtle guava and pink grapefruit nuances. Dry fruity entry followed by well balanced crisp acidity and a juicy tropical and citrus fruit aftertaste. An easy drinking dry, ligh;;;;;;;;Chenin Blanc;White;Dry;Light;Fruity;
DGB;0;0;Cape Mountain Sauvignon Blanc 2011;2011;Western Cape;Pale straw with youthful green hues. Generous exotic tropical fruit aromas with subtle guava and pink grapefruit nuances. Dry fruity entry followed by well balanced crisp acidity and a juicy tropical and citrus fruit aftertaste. An easy drinking dry, ligh;;;;;;;;Sauvignon Blanc;White;Dry;Light;Fruity;
DGB;0;0;Cape Mountain Shiraz 2011;2011;Western Cape;Pale straw with youthful green hues. Generous exotic tropical fruit aromas with subtle guava and pink grapefruit nuances. Dry fruity entry followed by well balanced crisp acidity and a juicy tropical and citrus fruit aftertaste. An easy drinking dry, ligh;;;;;;;;Shiraz;Red;Dry;Light;Fruity;
L' Avenir Vineyards;-33,88825989;18,84945869;L'Avenir Chenin Blanc 2011;2011;Stellenbosch;"<strong>Colour:</strong> A crisp pale straw yellow and beautiful clarity. <br />
<strong>Bouquet:</strong> Precise and intense with a ripe pineapple character.<br />
<strong>Palate:</strong> Full and rich with a complex roundness and refreshing acidity.";13.5;1.7;3.54;5.11;;;;Chenin Blanc;White;Dry;Full;Fruity;
The Winery of Good Hope;-34,01338577;18,81803513;The Winery of Good Hope Reserve Pinot Noir 2011;2011;Elgin & Stellenbosch;This is not a Pinot for those who think good red wine needs to be black, oaky and tannic. It is a fragrant, bright Pinot with wonderful succulence and expressive fruitiness. The successful combination of its earthy, mineral and red berry characters make f;13.5;1.8;3.5;5.3;;;;Pinot Noir;Red;Dry;;;
Bergsig Estate;;;Bergsig Chenin Blanc 2011;2011;Worcester;;12.0;1.7;;6.1;;;;Chenin Blanc;White;Dry;;;
Bergsig Estate;;;Bergsig Sauvignon Blanc 2011;2011;Worcester;A delicate, pale straw colour, showing complex layers of lemongrass, ripe apples and pear-drops. A full-flavoured wine with a tangy, dry finish.<br />;13.04;3.2;3.59;6.4;;;;Sauvignon Blanc;White;Dry;;;
Bergsig Estate;;;Bergsig Shiraz RosÃ© 2011;2011;Worcester;;11.7;5.9;;6.4;;;;Shiraz;Rose;Semi Sweet;;;
Overgaauw Estate;-33,94800568;18,79295158;Shepherd's Cottage Chenin Blanc / Chardonnay 2011;2011;Stellenbosch;A blend in which the characteristics of each of the varietalsÃ¢â‚¬â„¢ in the blend contribute to creating a complex multi dimensional wine, with aromas of pineapple, pear and herbaceous nuances. Crisp on the palate, complimented by refreshing tropical and;12.5;3.0;;6.86;;;;Chenin Blanc;White;Dry;Medium;Fruity;
Simonsvlei Winery;-33,90055466;18,86499977;Simonsvlei Lifestyle Pinotage 2012;2012;Western Cape;An unwooded, off-dry red wine. Seductive bouquet combines plum pudding, black cherry, coffee-chocolate and spice. Soft textured tannins.;14;6.06;3.75;5.13;;108;;Pinotage;Red;Off Dry;;Fragrant;
Simonsvlei Winery;-33,90055466;18,86499977;Simonsvlei Premier Selection Chenin Blanc 2013;2013;Western Cape;Explosive tropical fruit, with distinctive pineapple, guava and kiwi, make this achiever an exceptional varietal for any occasion.;12.45;3.86;3.57;4.94;;120;;Chenin Blanc;White;Dry;Light;Fruity;
Mullineux & Leeu Family Wines;0;0;Mullineux Kloof Street Chenin Blanc 2011;2011;;Pale straw in colour, this wine has a nose of sun ripened pears and wet granite. The palate is full and rich, with a mineral, spicy finish. ;12.5;1.3;3.37;4.8;0.31;;30;Chenin Blanc;White;;;;
Origin Wine;-33,87810135;18,81488991;Fairhills RosÃ© 2011;2011;Western Cape;Lovely aromas of strawberry accompanied by a juicy fruit palate with adequate acidity on the finish for a balanced structured summer wine.<br />;12.0;4.0;3.2;5.5;0.38;104;43;Merlot;White;Dry;;Fruity;
Origin Wine;-33,87810135;18,81488991;Fairhills Semillon / Sauvignon Blanc 2011;2011;Western Cape;Complexity between fruit as guava, peaches and grassiness. The palate is fresh and elegant and a soft acid finish.<br />;12.73;3.52;3.14;6.18;0.21;122;35;Semillon;White;Dry;Soft;Fruity;
Origin Wine;-33,87810135;18,81488991;Fairhills Cabernet Sauvignon / Petit Verdot 2011;2011;Western Cape;"
			This full-bodied red wine holds aromas of blackcurrant and cassis. Richly textured on the palate with good supple, dry tannins, ending in a long-lasting, savoury finish.<br />";14.32;3.85;3.63;5.53;0.45;115;50;Cabernet Sauvignon;Red;Dry;Full;;
Origin Wine;-33,87810135;18,81488991;Stormhoek Sauvignon Blanc 2011;2011;Stellenbosch;Typical fresh varietal characteristics of ripe figs, green pepper and gooseberries, with a long satisfying finish.<br />;12.47;2.79;3.16;6.38;0.34;112;45;Sauvignon Blanc;White;Dry;;Fruity;
Journeys End Vineyards;-34,11238098;18,90583992;Journey's End Weather Station Sauvignon Blanc 2011;2011;Stellenbosch;Medium straw, clear and bright. Nose is complex and layered, quince and graphite, with wild brush nuances. Firm but balanced acidity emphasises the palate minerality, finishing fresh and clean.;14.0;4.01;3.21;6.3;0.4;110;44;Sauvignon Blanc;White;;;Mineral;
Journeys End Vineyards;-34,11238098;18,90583992;Journey's End Haystack Chardonnay 2011;2011;Stellenbosch;"Pale straw gold colour.&nbsp; Pineapple,&nbsp; citrus and wood tones on the nose.&nbsp; On the palate has&nbsp;a zesty fruit taste and complimenting wood flavour.&nbsp; Crisp acidity backed by sweet alcohol lingering on the aftertaste.&nbsp;&nbsp;&nbsp;";13.5;3.2;3.35;6.1;0.45;140;45;Chardonnay;White;Dry;Medium;Fruity;
Boer and Brit Wines;0;0;Boer & Brit Suikerbossie Chenin Blanc 2011;2011;Wellington;Suikerbossie is the name of an indigenous fynbos species and also the name to a renowned folk song centring around true love!;12.5;4.5;3.4;6.0;0.4;;;Chenin Blanc;White;;;;
Nitida;0;0;Nitida Riesling 2013;2013;;A sense of sweeter jasmine, rosemary and dried apricot plays with fresh coriander and thyme.;13.0;7.3;3.0;8.0;;;;Riesling;White;Dry;Medium;Fruity;
Catherine Marshall Wines;-33,16944504;19,00833321;Catherine Marshall Sauvignon Blanc 2011;2011;;Fresh and intense display of passion fruit, mango, peach and lichees on  the mid palate with an underlying clean citrus length to balance the fruit.<br />;13.0;1.8;3.2;5.8;;;;Sauvignon Blanc;White;Dry;;;
Thembi & Co;0;0;Thembi Chardonnay 2011 (Fair Trade);2011;Coastal;Flavour profiles vary between ripe apple and pear, melon and creamy notes, balanced by a crisp acidity. ;13.79;3.29;3.43;6.36;0.29;136;46;Chardonnay;White;Dry;;;
Thembi & Co;0;0;The Belief Chardonnay 2011 (Fair Trade);2011;Coastal;Flavour profiles vary between ripe apple and pear, melon and creamy notes, balanced by a crisp acidity. ;13.79;3.29;3.43;6.36;0.29;136;46;Chardonnay;White;Dry;;;
Thembi & Co;0;0;The Belief Chenin Blanc 2011 (Fair Trade);2011;Coastal;Flavour profiles vary between ripe apple and pear, melon and creamy notes, balanced by a crisp acidity. ;12.89;2.2;3.24;6.38;0.42;136;46;Chenin Blanc;White;Dry;;;
The Winery of Good Hope;-34,01338577;18,81803513;The Winery of Good Hope Mountainside Shiraz 2011;2011;Stellenbosch;The Winery of GOOD HOPE Shiraz focuses on using natural methods to achieve a balanced style that promotes drinkability, but which releases flavour, varietal spiciness, individuality, balance and freshness. The great innate attributes of Shiraz.;14.0;4.4;3.64;5.2;;;;Shiraz;Red;Dry;;;
Obikwa Wines;-33,940979;18,85289383;Obikwa Sauvignon Blanc 2013;2013;Western Cape;Colour: Clear with green tints.<br />Bouquet: Tropical fruit with gooseberries, asparagus and green fi g in the background..<br />Taste: Crisp and fruity with tropical fruit, gooseberries and hints of green fig.<br />;12.01;6.00;3.34;6.64;;;;Sauvignon Blanc;White;Off Dry;;Fruity;
Linton Park Wines;-33,61083984;19,03723907;CafÃ© Cabernet Sauvignon 2012;2012;Wellington;Rich coffee, chocolate and mocha aromas.<br />A wine carefully crafted with French and American oak to bring out the natural mocha flavours, complimenting the blackcurrant, berry and plum nuances, intrinsic to this noble grape variety.;13.5;2.8;;4.9;;;;Cabernet Sauvignon;Red;Dry;Full;;
SesFikile Wines;0;0;Ses'fikile Chenin Blanc 2011;2011;;Bursts with freshness and tropical, guava flavours. Vibrant and accessible with a clean zesty finish. Crisp and fresh.;13.87;;;;;;;Chenin Blanc;White;;;;
SesFikile Wines;0;0;Ses'fikile Sauvignon Blanc 2011;2011;;A crisp, delicate wine with hints of limes, green pepper, a linear acidity and a long, lingering finish. Elegantly refreshing with a lingering after taste.;13.2;;;;;;;Sauvignon Blanc;White;Dry;Full;;
Rudera Wines;-33,94067001;18,90370941;Lula Syrah 2011;2011;;This is a medium to full bodied Syrah with ripe fruit flavours of plum, cherries, currents and dried peach. It has subtle vanilla and black pepper spice on the palate and is lively with good fruit acid.;;;;;;;;Shiraz;Red;;;;
ReMogo Holdings Limited;;;Re'Mogo Chenin Blanc 2011;2011;Stellenbosch;This wine is intense with lime, quince and lush tropical fruit flavours. It has a delicate pinepple aroma and a clean, brisk scrumptious finish.;13.2;2.0;3.6;5.5;;;;Chenin Blanc;White;Off Dry;Soft;Fruity;
ReMogo Holdings Limited;;;Re'Mogo Sauvignon Blanc 2011;2011;Stellenbosch;"This is an elegant wine with rich nettle, green fig and berbaceous aroms. The asparagus undertones are&nbsp;structured beatifully with a long zesty and succulant finish.";13.75;2.0;3.55;5.5;;;;Sauvignon Blanc;White;Off Dry;Light;Herbaceous;
MAN Vintners;0;0;MÂ·AÂ·N Family Wines Shiraz 2013;2013;Coastal Region;"<div><span style=""text-decoration: underline;"">Skaapveld Shiraz</span></div><div>Skaapveld refers to the grazing land for sheep that adjoins many of the Shiraz vineyards in our region. Whether the sheep have any effect on the wine is open to debate, but t";14.0;4.8;3.55;5.2;;;;Shiraz;Red;Dry;Medium;;
Simonsvlei Winery;-33,90055466;18,86499977;Simonsvlei Ja-Mocha Pinotage 2011;2011;Western Cape;JaMocha originated from the Coffee and Chocolate connection associated with this wine. Its a well balanced fruity wine with expressing overtones of dark chocolate and toasted coffee beans.;14.27;3.23;3.66;5.81;;48;;Pinotage;Red;Dry;Medium;Fruity;
Simonsvlei Winery;-33,90055466;18,86499977;Simonsvlei Premier Selection Chardonnay 2012;2012;Western Cape;An elegant, lightly wooded white wine with aromas of lemon, pawpaw and soft vanilla on the nose and palate.;15.65;4.57;3.58;5.2;;135;;Chardonnay;White;Dry;Medium;Fruity;
Simonsvlei Winery;-33,90055466;18,86499977;Simonsvlei Premier Selection Cabernet Sauvignon / Merlot 2012;2012;Western Cape;A very popular wooded medium-bodied blend in a light style. Mulberry, mineral and herb flavours on the nose. Excellent balance of fruit and wood vanilla. ;14.11;6.27;3.57;5.61;;130;;Cabernet Sauvignon;Red;Dry;Medium;Fragrant;
